City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Sompeta,IN,82.04,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
606,Wattegama,LK,82.4,light rain,6.7989,81.4808,
607,Gladstone,AU,82.4,light rain,-23.85,151.25,Highpoint International
610,Cayenne,GF,78.8,light rain,4.9333,-52.3333,Hôtel Le Dronmi
612,Prieska,ZA,78.73,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
616,Encarnacion,PY,77.97,clear sky,-27.3333,-55.9,Hotel Posadas
624,Catuday,PH,77.2,scattered clouds,16.2923,119.8062,GResort
626,Shirgaon,IN,86.0,smoke,19.7,72.7,Samarth Krupa Agro Tourism Farm
628,Kendari,ID,88.47,scattered clouds,-3.945,122.4989,Hotel Wixel
630,Mareeba,AU,87.8,light rain,-17.0,145.4333,Trinity Plains Tourist Park
636,Kyaikto,MM,85.01,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
654,Port-Gentil,GA,79.66,light rain,-0.7193,8.7815,Fengshui Residence
659,Bhojudih,IN,81.3,clear sky,23.6333,86.45,Alumni House
660,Mangochi,MW,75.13,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
661,Salto,UY,78.17,overcast clouds,-31.3833,-57.9667,Gran Hotel Uruguay
664,Road Town,VG,78.01,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
667,Mayor Pablo Lagerenza,PY,84.11,scattered clouds,-19.9309,-60.7718,
674,Ambanja,MG,77.0,light rain,-13.6833,48.45,Hotel Salama and Fast Food
677,Bhadrachalam,IN,84.63,broken clouds,17.6667,80.8833,Hotel Srinidhi Residency
681,Galesong,ID,86.0,moderate rain,-5.3166,119.3661,Sapriadi Appy
684,Calabozo,VE,75.33,few clouds,8.9242,-67.4293,Hotel Giardini
695,Poso,ID,87.75,light rain,-1.3959,120.7524,Hotel 77 Poso
