City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
174,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.96,94,100,3.91,overcast clouds,2021-01-11 04:39:25
175,Tessalit,ML,20.1986,1.0114,59.68,45,0,10.65,clear sky,2021-01-11 04:35:24
176,Qui Nhon,VN,13.7667,109.2333,72.46,86,83,23.96,light rain,2021-01-11 04:39:26
177,Acurenam,GQ,1.0322,10.6488,67.12,99,64,2.73,broken clouds,2021-01-11 04:39:26
178,Evensk,RU,61.95,159.2333,7.36,89,100,17.56,overcast clouds,2021-01-11 04:39:26
179,Maicao,CO,11.3832,-72.2432,77.56,80,36,14.45,scattered clouds,2021-01-11 04:39:27
180,Pacasmayo,PE,-7.4006,-79.5714,70.23,81,41,11.9,scattered clouds,2021-01-11 04:39:27
181,Porto Empedocle,IT,37.2934,13.5264,48.99,1,1,5.5,clear sky,2021-01-11 04:39:27
182,Tripoli,LY,32.8752,13.1875,64.11,68,0,3.22,clear sky,2021-01-11 04:39:27
183,Longyearbyen,SJ,78.2186,15.6401,24.8,80,40,11.5,scattered clouds,2021-01-11 04:37:27
184,Karwar,IN,14.8,74.1333,83.52,58,32,5.91,scattered clouds,2021-01-11 04:39:28
185,Padang,ID,-0.9492,100.3543,87.85,56,98,3.71,overcast clouds,2021-01-11 04:37:14
186,Nur,PL,52.6683,22.3221,33.01,81,100,5.01,overcast clouds,2021-01-11 04:39:28
187,Nganjuk,ID,-7.6051,111.9035,87.28,68,85,4.83,overcast clouds,2021-01-11 04:39:28
188,Narasannapeta,IN,18.4167,84.05,83.43,45,5,1.28,clear sky,2021-01-11 04:39:29
189,Baoning,CN,25.3378,110.026,50.0,25,40,8.95,scattered clouds,2021-01-11 04:39:29
190,Rawson,AR,-43.3002,-65.1023,60.39,32,90,14.47,overcast clouds,2021-01-11 04:38:21
191,Broken Hill,AU,-31.95,141.4333,95.0,14,50,9.22,scattered clouds,2021-01-11 04:37:38
192,Whitehorse,CA,60.7161,-135.0538,30.2,86,90,11.5,light snow,2021-01-11 04:39:29
193,Takoradi,GH,4.8845,-1.7554,77.77,89,0,7.43,clear sky,2021-01-11 04:39:29
194,Arraial Do Cabo,BR,-22.9661,-42.0278,76.37,90,48,17.94,scattered clouds,2021-01-11 04:37:21
195,Xai-Xai,MZ,-25.0519,33.6442,78.55,69,21,8.39,few clouds,2021-01-11 04:39:30
196,Juba,SS,4.8517,31.5825,75.88,27,0,1.57,clear sky,2021-01-11 04:39:30
197,Mushie,CD,-3.0167,16.9,71.13,94,97,3.42,overcast clouds,2021-01-11 04:39:30
198,Coihaique,CL,-45.5752,-72.0662,37.99,83,60,7.25,broken clouds,2021-01-11 04:39:30
199,Seoul,KR,37.5683,126.9778,24.8,58,0,1.14,clear sky,2021-01-11 04:38:39
200,Dudinka,RU,69.4058,86.1778,-0.33,93,100,10.8,light snow,2021-01-11 04:39:31
201,Sao Domingos,BR,-13.3983,-46.3183,71.47,85,67,1.7,light rain,2021-01-11 04:39:31
202,Cockburn Town,TC,21.4612,-71.1419,77.92,80,98,16.06,overcast clouds,2021-01-11 04:39:31
203,Barra Do Garcas,BR,-15.89,-52.2567,73.22,89,83,2.06,light rain,2021-01-11 04:38:26
204,Guatire,VE,10.4762,-66.5427,68.0,84,73,2.39,broken clouds,2021-01-11 04:39:32
205,Taoudenni,ML,22.6783,-3.9836,55.9,41,68,10.54,broken clouds,2021-01-11 04:37:25
206,Russell,US,32.3502,-85.1999,42.8,87,90,2.95,overcast clouds,2021-01-11 04:39:32
207,Pemangkat,ID,1.1667,108.9667,76.6,90,100,12.28,overcast clouds,2021-01-11 04:35:04
208,Bendigo,AU,-36.7667,144.2833,96.01,37,100,5.01,overcast clouds,2021-01-11 04:39:32
209,Victoria,HK,22.2855,114.1577,50.0,56,100,3.0,overcast clouds,2021-01-11 04:36:16
210,Champerico,GT,14.3,-91.9167,66.0,95,0,4.23,clear sky,2021-01-11 04:39:33
211,Tiarei,PF,-17.5333,-149.3333,84.2,61,75,8.05,light rain,2021-01-11 04:39:33
212,Mahebourg,MU,-20.4081,57.7,78.8,94,75,13.8,light rain,2021-01-11 04:38:19
213,Tocopilla,CL,-22.092,-70.1979,68.0,69,57,5.77,broken clouds,2021-01-11 04:39:33
214,Sobolevo,RU,54.4299,31.8996,6.87,95,97,3.51,snow,2021-01-11 04:39:33
215,Eyl,SO,7.9803,49.8164,72.93,62,59,21.94,broken clouds,2021-01-11 04:39:34
216,Poum,NC,-20.2333,164.0167,84.61,75,80,8.16,broken clouds,2021-01-11 04:37:35
217,Esperance,AU,-33.8667,121.9,71.6,46,40,12.66,scattered clouds,2021-01-11 04:38:02
218,Staryy Nadym,RU,65.6118,72.6842,-23.03,82,8,6.13,clear sky,2021-01-11 04:39:34
219,Deputatskiy,RU,69.3,139.9,-35.52,82,56,4.38,broken clouds,2021-01-11 04:39:34
220,Zorritos,PE,-3.6805,-80.6782,77.81,68,83,6.31,broken clouds,2021-01-11 04:39:34
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.0,85,1,5.75,clear sky,2021-01-11 04:39:35
222,Lorengau,PG,-2.0226,147.2712,84.65,67,18,3.6,light rain,2021-01-11 04:37:33
223,Kardla,EE,58.9978,22.7492,32.0,93,75,4.61,broken clouds,2021-01-11 04:39:35
224,Chizhou,CN,30.6578,117.4831,43.05,51,62,9.37,broken clouds,2021-01-11 04:39:35
225,Nagua,DO,19.3832,-69.8474,71.01,96,68,5.5,broken clouds,2021-01-11 04:39:35
226,Iqaluit,CA,63.7506,-68.5145,1.4,78,75,10.36,light snow,2021-01-11 04:37:24
227,San Cristobal,VE,7.7669,-72.225,64.47,90,55,2.95,broken clouds,2021-01-11 04:39:36
228,Koppal,IN,15.35,76.15,81.19,52,0,12.01,clear sky,2021-01-11 04:39:36
229,Kontagora,NG,10.3999,5.4695,67.1,25,16,5.39,few clouds,2021-01-11 04:39:36
230,Tual,ID,-5.6667,132.75,84.61,71,3,7.85,clear sky,2021-01-11 04:39:23
231,College,US,64.8569,-147.8028,17.6,79,75,6.91,broken clouds,2021-01-11 04:35:01
232,Talara,PE,-4.5772,-81.2719,70.63,81,48,11.65,scattered clouds,2021-01-11 04:37:27
233,Coahuayana,MX,18.7333,-103.6833,68.85,83,0,3.04,clear sky,2021-01-11 04:37:21
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.55,88,36,17.34,scattered clouds,2021-01-11 04:39:37
235,Upata,VE,8.0086,-62.3989,75.99,93,19,4.0,few clouds,2021-01-11 04:35:27
236,Sayla,IN,22.55,71.4667,74.91,38,0,8.16,clear sky,2021-01-11 04:39:37
237,Dong Hoi,VN,17.4833,106.6,57.97,77,100,23.06,overcast clouds,2021-01-11 04:39:38
238,Bari Sadri,IN,24.4167,74.4667,59.0,77,75,4.61,haze,2021-01-11 04:39:38
239,Lakatoro,VU,-16.0999,167.4164,85.15,70,75,3.13,light rain,2021-01-11 04:39:38
240,Goderich,CA,43.7501,-81.7165,30.2,74,100,8.05,overcast clouds,2021-01-11 04:39:38
241,Ust-Nera,RU,64.5667,143.2,-35.77,71,78,2.35,broken clouds,2021-01-11 04:39:39
242,Shingu,JP,33.7333,135.9833,42.8,52,40,9.22,scattered clouds,2021-01-11 04:35:10
243,Chicama,PE,-7.8447,-79.1469,69.31,81,44,5.46,scattered clouds,2021-01-11 04:39:39
244,Bam,IR,29.106,58.357,49.95,27,0,0.72,clear sky,2021-01-11 04:39:39
245,Dubbo,AU,-32.25,148.6167,86.0,35,0,2.3,clear sky,2021-01-11 04:39:39
246,Carnarvon,AU,-24.8667,113.6333,82.4,65,0,21.85,clear sky,2021-01-11 04:37:09
247,Constitucion,CL,-35.3333,-72.4167,56.46,90,100,3.96,overcast clouds,2021-01-11 04:39:40
248,Ilhabela,BR,-23.7781,-45.3581,77.29,88,99,9.57,overcast clouds,2021-01-11 04:39:40
249,Fukue,JP,32.6881,128.8419,42.8,61,75,3.44,broken clouds,2021-01-11 04:38:12
250,Ponta Delgada,PT,37.7333,-25.6667,55.4,94,75,10.36,light rain,2021-01-11 04:39:40
251,Gueret,FR,46.1667,1.8667,27.0,93,0,8.05,clear sky,2021-01-11 04:39:41
252,Sao Filipe,CV,14.8961,-24.4956,69.08,73,53,18.79,broken clouds,2021-01-11 04:37:18
253,Beihai,CN,21.4833,109.1,49.82,49,100,24.74,overcast clouds,2021-01-11 04:39:41
254,Wahiawa,US,21.5028,-158.0236,78.8,73,1,3.44,clear sky,2021-01-11 04:39:41
255,Salvador,SV,13.8333,-88.9167,75.2,83,20,5.75,few clouds,2021-01-11 04:37:13
256,Severo-Kurilsk,RU,50.6789,156.125,20.03,88,98,18.1,overcast clouds,2021-01-11 04:37:33
257,Fort Nelson,CA,58.8053,-122.7002,10.4,85,75,4.61,broken clouds,2021-01-11 04:38:19
258,The Valley,AI,18.217,-63.0578,78.8,73,40,12.66,scattered clouds,2021-01-11 04:39:42
259,Bagdarin,RU,54.4333,113.6,-3.5,79,43,0.92,scattered clouds,2021-01-11 04:39:42
260,Caucaia,BR,-3.7361,-38.6531,80.01,83,0,4.61,clear sky,2021-01-11 04:37:55
261,Nizwa,OM,22.9333,57.5333,62.91,25,0,0.6,clear sky,2021-01-11 04:39:43
262,Minna,NG,9.6139,6.5569,71.47,22,0,5.35,clear sky,2021-01-11 04:39:43
263,Choya,RU,52.0108,86.5467,20.35,95,100,1.74,overcast clouds,2021-01-11 04:39:43
